,n_features,n_samples,class_ratio,distributions,balancer,classifier,accuracy,precision,recall,F1 score,ROC AUC Score,cluster distance
33,2,10000,0.01,multivariate_normal 2 feat.,Unbalanced,XGboost,0.9985,0.9629629629629628,0.9285714285714286,0.9454545454545454,0.964032164589974,5.0
34,2,10000,0.01,multivariate_normal 2 feat.,Unbalanced,Lightgbm,0.998,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9637786148942334,5.0
35,2,10000,0.01,multivariate_normal 2 feat.,ADASYN,Logistic Regression,0.9885,0.5490196078431373,1.0,0.7088607594936709,0.9941683569979716,5.0
36,2,10000,0.01,multivariate_normal 2 feat.,ADASYN,Decision Tree,0.9965,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9806215589684152,5.0
37,2,10000,0.01,multivariate_normal 2 feat.,ADASYN,Random Forest,0.995,0.75,0.9642857142857144,0.8437499999999999,0.979860909881194,5.0
38,2,10000,0.01,multivariate_normal 2 feat.,ADASYN,XGboost,0.9945,0.7297297297297297,0.9642857142857144,0.8307692307692307,0.9796073601854536,5.0
39,2,10000,0.01,multivariate_normal 2 feat.,ADASYN,Lightgbm,0.9955,0.7714285714285715,0.9642857142857144,0.8571428571428572,0.9801144595769344,5.0
40,2,10000,0.01,multivariate_normal 2 feat.,RandomOverSampler,Logistic Regression,0.9915,0.6222222222222222,1.0,0.7671232876712328,0.9956896551724138,5.0
41,2,10000,0.01,multivariate_normal 2 feat.,RandomOverSampler,Decision Tree,0.9975,0.896551724137931,0.9285714285714286,0.912280701754386,0.9635250651984932,5.0
42,2,10000,0.01,multivariate_normal 2 feat.,RandomOverSampler,Random Forest,0.998,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9637786148942334,5.0
43,2,10000,0.01,multivariate_normal 2 feat.,RandomOverSampler,XGboost,0.998,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9637786148942334,5.0
44,2,10000,0.01,multivariate_normal 2 feat.,RandomOverSampler,Lightgbm,0.998,0.9,0.9642857142857144,0.9310344827586208,0.981382208055636,5.0
45,2,10000,0.01,multivariate_normal 2 feat.,SMOTE,Logistic Regression,0.9925,0.6511627906976745,1.0,0.7887323943661972,0.9961967545638944,5.0
46,2,10000,0.01,multivariate_normal 2 feat.,SMOTE,Decision Tree,0.997,0.84375,0.9642857142857144,0.8999999999999999,0.9808751086641554,5.0
47,2,10000,0.01,multivariate_normal 2 feat.,SMOTE,Random Forest,0.995,0.75,0.9642857142857144,0.8437499999999999,0.979860909881194,5.0
48,2,10000,0.01,multivariate_normal 2 feat.,SMOTE,XGboost,0.9955,0.7714285714285715,0.9642857142857144,0.8571428571428572,0.9801144595769344,5.0
49,2,10000,0.01,multivariate_normal 2 feat.,SMOTE,Lightgbm,0.9955,0.7714285714285715,0.9642857142857144,0.8571428571428572,0.9801144595769344,5.0
50,2,10000,0.01,multivariate_normal 2 feat.,BorderlineSMOTE,Logistic Regression,0.9875,0.5283018867924528,1.0,0.6913580246913581,0.9936612576064908,5.0
51,2,10000,0.01,multivariate_normal 2 feat.,BorderlineSMOTE,Decision Tree,0.998,0.9,0.9642857142857144,0.9310344827586208,0.981382208055636,5.0
52,2,10000,0.01,multivariate_normal 2 feat.,BorderlineSMOTE,Random Forest,0.997,0.84375,0.9642857142857144,0.8999999999999999,0.9808751086641554,5.0
53,2,10000,0.01,multivariate_normal 2 feat.,BorderlineSMOTE,XGboost,0.996,0.7941176470588235,0.9642857142857144,0.8709677419354839,0.9803680092726746,5.0
54,2,10000,0.01,multivariate_normal 2 feat.,BorderlineSMOTE,Lightgbm,0.9965,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9806215589684152,5.0
55,2,10000,0.01,multivariate_normal 2 feat.,SVMSMOTE,Logistic Regression,0.9885,0.5490196078431373,1.0,0.7088607594936709,0.9941683569979716,5.0
56,2,10000,0.01,multivariate_normal 2 feat.,SVMSMOTE,Decision Tree,0.997,0.84375,0.9642857142857144,0.8999999999999999,0.9808751086641554,5.0
57,2,10000,0.01,multivariate_normal 2 feat.,SVMSMOTE,Random Forest,0.9955,0.7714285714285715,0.9642857142857144,0.8571428571428572,0.9801144595769344,5.0
58,2,10000,0.01,multivariate_normal 2 feat.,SVMSMOTE,XGboost,0.997,0.84375,0.9642857142857144,0.8999999999999999,0.9808751086641554,5.0
59,2,10000,0.01,multivariate_normal 2 feat.,SVMSMOTE,Lightgbm,0.996,0.7941176470588235,0.9642857142857144,0.8709677419354839,0.9803680092726746,5.0
60,4,10000,0.1,multivariate_normal 4 feat.,Unbalanced,Logistic Regression,0.996,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9884771386430676,5.0
61,4,10000,0.1,multivariate_normal 4 feat.,Unbalanced,Decision Tree,0.9905,0.9481865284974094,0.953125,0.9506493506493506,0.9737970132743364,5.0
62,4,10000,0.1,multivariate_normal 4 feat.,Unbalanced,Random Forest,0.994,0.9787234042553192,0.9583333333333334,0.968421052631579,0.9780604719764012,5.0
63,4,10000,0.1,multivariate_normal 4 feat.,Unbalanced,XGboost,0.9945,0.9738219895287958,0.96875,0.9712793733681464,0.9829922566371682,5.0
64,4,10000,0.1,multivariate_normal 4 feat.,Unbalanced,Lightgbm,0.9945,0.9738219895287958,0.96875,0.9712793733681464,0.9829922566371682,5.0
65,4,10000,0.1,multivariate_normal 4 feat.,ADASYN,Logistic Regression,0.9745,0.7925311203319502,0.9947916666666666,0.8822170900692841,0.9835683997050148,5.0
66,4,10000,0.1,multivariate_normal 4 feat.,ADASYN,Decision Tree,0.991,0.9438775510204082,0.9635416666666666,0.9536082474226804,0.978728797935103,5.0
67,4,10000,0.1,multivariate_normal 4 feat.,ADASYN,Random Forest,0.992,0.9489795918367347,0.96875,0.9587628865979382,0.9816095132743364,5.0
68,4,10000,0.1,multivariate_normal 4 feat.,ADASYN,XGboost,0.991,0.9306930693069309,0.9791666666666666,0.9543147208121828,0.9857116519174042,5.0
69,4,10000,0.1,multivariate_normal 4 feat.,ADASYN,Lightgbm,0.992,0.9356435643564356,0.984375,0.9593908629441624,0.9885923672566372,5.0
70,4,10000,0.1,multivariate_normal 4 feat.,RandomOverSampler,Logistic Regression,0.995,0.955,0.9947916666666666,0.9744897959183672,0.994906895280236,5.0
71,4,10000,0.1,multivariate_normal 4 feat.,RandomOverSampler,Decision Tree,0.992,0.963157894736842,0.953125,0.9581151832460733,0.9746266592920354,5.0
72,4,10000,0.1,multivariate_normal 4 feat.,RandomOverSampler,Random Forest,0.9945,0.9788359788359788,0.9635416666666666,0.9711286089238844,0.9806646386430676,5.0
73,4,10000,0.1,multivariate_normal 4 feat.,RandomOverSampler,XGboost,0.995,0.9690721649484536,0.9791666666666666,0.9740932642487048,0.9879240412979352,5.0
74,4,10000,0.1,multivariate_normal 4 feat.,RandomOverSampler,Lightgbm,0.9935,0.9685863874345548,0.9635416666666666,0.9660574412532636,0.9801115412979352,5.0
75,4,10000,0.1,multivariate_normal 4 feat.,SMOTE,Logistic Regression,0.995,0.9595959595959596,0.9895833333333334,0.9743589743589745,0.9925792772861356,5.0
76,4,10000,0.1,multivariate_normal 4 feat.,SMOTE,Decision Tree,0.9895,0.9384615384615383,0.953125,0.9457364341085271,0.9732439159292036,5.0
77,4,10000,0.1,multivariate_normal 4 feat.,SMOTE,Random Forest,0.9935,0.9685863874345548,0.9635416666666666,0.9660574412532636,0.9801115412979352,5.0
78,4,10000,0.1,multivariate_normal 4 feat.,SMOTE,XGboost,0.993,0.9540816326530612,0.9739583333333334,0.963917525773196,0.9844902286135694,5.0
79,4,10000,0.1,multivariate_normal 4 feat.,SMOTE,Lightgbm,0.9945,0.9689119170984456,0.9739583333333334,0.9714285714285714,0.9853198746312686,5.0
80,4,10000,0.1,multivariate_normal 4 feat.,BorderlineSMOTE,Logistic Regression,0.9935,0.9408866995073892,0.9947916666666666,0.9670886075949366,0.9940772492625368,5.0
