classifier,accuracy,precision,recall,F1 score,ROC AUC Score
Decision Tree,0.944,0.379,0.493,0.412,0.726
Lightgbm,0.937,0.415,0.624,0.452,0.784
Logistic Regression,0.908,0.372,0.773,0.416,0.843
Random Forest,0.959,0.48,0.512,0.461,0.742
XGboost,0.943,0.439,0.6,0.465,0.776
