balancer,accuracy,precision,recall,F1 score,ROC AUC Score
ADASYN,0.932,0.8,0.879,0.802,0.906
BorderlineSMOTE,0.941,0.798,0.856,0.799,0.899
KMeansSMOTE,0.92,0.801,0.926,0.803,0.923
RandomOverSampler,0.92,0.802,0.93,0.804,0.925
SMOTE,0.92,0.799,0.929,0.803,0.925
SVMSMOTE,0.935,0.799,0.882,0.803,0.909
Unbalanced,0.998,0.797,0.793,0.795,0.896
