classifier,accuracy,precision,recall,F1 score,ROC AUC Score
Decision Tree,1.0,0.987,0.99,0.989,0.995
Lightgbm,1.0,0.999,0.996,0.997,0.998
Logistic Regression,0.692,0.012,0.446,0.024,0.57
Random Forest,1.0,1.0,0.994,0.997,0.997
XGboost,1.0,0.999,0.999,0.999,1.0
