balancer,accuracy,precision,recall,F1 score,ROC AUC Score
Unbalanced,0.996,0.969,0.947,0.958,0.973
KMeansSMOTE,0.996,0.957,0.954,0.956,0.976
RandomOverSampler,0.994,0.935,0.954,0.943,0.975
SMOTE,0.994,0.915,0.964,0.938,0.98
SVMSMOTE,0.992,0.892,0.971,0.928,0.982
BorderlineSMOTE,0.992,0.891,0.966,0.924,0.98
ADASYN,0.99,0.874,0.964,0.913,0.978
